Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.457069396972656e-05
fr, de, 1.0, 1.3113021850585938e-05
fr, nl, 1.0, 1.0251998901367188e-05
fr, it, 0.6666666666666666, 1.0013580322265625e-05
fr, en, 0.8, 1.0967254638671875e-05
fr, ru, 1.0, 1.0013580322265625e-05
fr, ko, 1.0, 9.775161743164062e-06
fr, union, 0.8, 1.0013580322265625e-05
de, de, 1.0, 9.059906005859375e-06
de, nl, 1.0, 9.059906005859375e-06
de, it, 0.6666666666666666, 9.059906005859375e-06
de, en, 0.8, 9.5367431640625e-06
de, ru, 1.0, 8.821487426757812e-06
de, ko, 1.0, 9.059906005859375e-06
de, union, 0.8, 9.059906005859375e-06
nl, nl, 1.0, 9.059906005859375e-06
nl, it, 0.6666666666666666, 8.821487426757812e-06
nl, en, 0.8, 9.298324584960938e-06
nl, ru, 1.0, 9.298324584960938e-06
nl, ko, 1.0, 9.298324584960938e-06
nl, union, 0.8, 9.059906005859375e-06
it, it, 1.0, 9.059906005859375e-06
it, en, 0.8, 9.298324584960938e-06
it, ru, 0.6666666666666666, 9.059906005859375e-06
it, ko, 0.6666666666666666, 9.298324584960938e-06
it, union, 0.8, 9.298324584960938e-06
en, en, 1.0, 9.5367431640625e-06
en, ru, 0.8, 9.059906005859375e-06
en, ko, 0.8, 1.4543533325195312e-05
en, union, 1.0, 9.298324584960938e-06
ru, ru, 1.0, 9.059906005859375e-06
ru, ko, 1.0, 9.059906005859375e-06
ru, union, 0.8, 9.059906005859375e-06
ko, ko, 1.0, 8.821487426757812e-06
ko, union, 0.8, 9.059906005859375e-06
union, union, 1.0, 9.5367431640625e-06
